"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1174,1933,2289,2796,2934,3093,2571,2931,3066,3047,2609,2896
"2",1508,2791,2788,3471,3805,4016,3184,3673,3948,4064,3173,3814
"3",2063,3335,3312,3934,4416,4380,3693,4177,4418,4540,3681,4186
"4",2740,4271,4170,4918,5247,5342,4633,5044,5320,5412,4675,5202
"5",2996,4577,4525,5141,5350,5502,4794,5287,5407,5515,4792,5247
"6",3235,4284,4073,4907,5097,5291,4538,5097,5254,5297,4562,5030
"7",2833,4238,4177,4748,5253,5358,4592,5107,5334,5478,4648,5144
"8",1777,2610,2819,3133,3325,3404,2968,3236,3370,3494,2984,3233
"9",2724,3240,3083,3696,4067,4226,3466,3923,4234,4275,3461,4065
"10",3187,3731,3436,4076,4523,4770,4032,4568,4671,4769,3960,4404
"11",2629,3965,3778,4461,4905,5043,4306,4770,4901,4978,4157,4690
"12",2526,4174,4152,4873,5160,5312,4450,5033,5259,5222,4434,5020
"13",2598,4103,3953,4663,5021,5095,4285,4859,5068,5257,4427,4830
"14",3390,4134,4050,4854,5196,5304,4532,5056,5269,5304,4563,5077
"15",2073,2810,2969,3310,3559,3576,3078,3345,3484,3612,3062,3369
"16",2977,3784,3518,4159,4437,4583,3774,4210,4379,4581,3827,4314
"17",3887,4180,3905,4603,5011,5069,4409,4858,4984,5125,4357,4814
"18",3007,3848,3543,4350,4780,4834,3998,4504,4813,4896,3956,4515
"19",3132,4156,3967,4743,5102,5200,4382,4909,5215,5221,4360,5021
"20",3499,4204,4002,4627,5087,5189,4499,4960,5221,5264,4502,5042
"21",3138,4247,4037,4687,5057,5229,4477,5038,5199,5280,4479,5010
"22",2019,2531,2601,3037,3280,3371,2821,3217,3279,3357,2806,3246
"23",2947,3653,3481,4260,4424,4682,3818,4331,4601,4643,3926,4365
"24",3352,4584,4514,5165,5469,5548,4850,5382,5583,5687,4934,5339
"25",2681,4432,4400,5155,5395,5500,4674,5339,5568,5493,4766,5379
"26",3211,4254,4229,4971,5271,5394,4755,5073,5374,5507,4752,5146
"27",2756,4158,4084,4860,5131,5251,4491,4981,5239,5395,4659,5093
"28",2924,4047,4157,4948,5289,5414,4730,5100,5369,5454,4663,5112
"29",1664,2194,2319,2753,3024,3146,2625,2954,3060,3160,2596,2918
"30",2324,3310,3385,4048,4406,4385,3724,4169,4370,4365,3683,4206
"31",2372,5007,4689,5333,5482,5555,4867,5495,5527,5584,4967,5503
"32",2508,4809,4851,5580,5788,5937,5223,5745,5949,5961,5284,5723
"33",2508,3715,3807,4718,4989,5151,4286,4766,5052,5106,4288,4829
"34",2486,3928,3995,4717,5019,5126,4352,4860,5193,5207,4348,4982
"35",2167,4042,4102,4849,5116,5244,4365,5049,5219,5185,4434,5086
"36",1227,1765,2032,2400,2684,2868,2378,2641,2818,2947,2353,2660
"37",1542,2541,2708,3457,3789,3938,3123,3669,3783,3793,3167,3706
"38",1970,3378,3533,4294,4658,4832,4021,4489,4701,4771,3994,4541
"39",2397,3725,3943,4795,5153,5283,4601,5162,5345,5351,4542,5033
"40",2718,3714,3648,4502,4898,5026,4360,4916,5103,5209,4310,4823
"41",2788,3771,3722,4482,4768,4981,4214,4816,5004,5066,4280,4761
"42",2237,3943,3856,4650,5017,5126,4312,4882,5128,5108,4235,4847
"43",804,1702,2284,2549,2776,2888,2428,2677,2843,2821,2478,2655
"44",1102,2234,2484,3128,3424,3702,2914,3363,3620,3783,2980,3449
