"Site","x","y","crs"
"Site_0001",394587.000418845,4668521.99984188,32616
"Site_0002",395587.000418845,4668521.99984188,32616
"Site_0003",396587.000418845,4668521.99984188,32616
"Site_0004",397587.000418845,4668521.99984188,32616
"Site_0005",398587.000418845,4668521.99984188,32616
"Site_0006",399587.000418845,4668521.99984188,32616
"Site_0007",400587.000418845,4668521.99984188,32616
"Site_0008",394587.000418845,4669521.99984188,32616
"Site_0009",395587.000418845,4669521.99984188,32616
"Site_0010",396587.000418845,4669521.99984188,32616
"Site_0011",397587.000418845,4669521.99984188,32616
"Site_0012",398587.000418845,4669521.99984188,32616
"Site_0013",399587.000418845,4669521.99984188,32616
"Site_0014",400587.000418845,4669521.99984188,32616
"Site_0015",394587.000418845,4670521.99984188,32616
"Site_0016",395587.000418845,4670521.99984188,32616
"Site_0017",396587.000418845,4670521.99984188,32616
"Site_0018",397587.000418845,4670521.99984188,32616
"Site_0019",398587.000418845,4670521.99984188,32616
"Site_0020",399587.000418845,4670521.99984188,32616
"Site_0021",400587.000418845,4670521.99984188,32616
"Site_0022",394587.000418845,4671521.99984188,32616
"Site_0023",395587.000418845,4671521.99984188,32616
"Site_0024",396587.000418845,4671521.99984188,32616
"Site_0025",397587.000418845,4671521.99984188,32616
"Site_0026",398587.000418845,4671521.99984188,32616
"Site_0027",399587.000418845,4671521.99984188,32616
"Site_0028",400587.000418845,4671521.99984188,32616
"Site_0029",394587.000418845,4672521.99984188,32616
"Site_0030",395587.000418845,4672521.99984188,32616
"Site_0031",396587.000418845,4672521.99984188,32616
"Site_0032",397587.000418845,4672521.99984188,32616
"Site_0033",398587.000418845,4672521.99984188,32616
"Site_0034",399587.000418845,4672521.99984188,32616
"Site_0035",400587.000418845,4672521.99984188,32616
"Site_0036",394587.000418845,4673521.99984188,32616
"Site_0037",395587.000418845,4673521.99984188,32616
"Site_0038",396587.000418845,4673521.99984188,32616
"Site_0039",397587.000418845,4673521.99984188,32616
"Site_0040",398587.000418845,4673521.99984188,32616
"Site_0041",399587.000418845,4673521.99984188,32616
"Site_0042",400587.000418845,4673521.99984188,32616
"Site_0043",394587.000418845,4674521.99984188,32616
"Site_0044",395587.000418845,4674521.99984188,32616
"Site_0045",396587.000418845,4674521.99984188,32616
"Site_0046",397587.000418845,4674521.99984188,32616
"Site_0047",398587.000418845,4674521.99984188,32616
"Site_0048",399587.000418845,4674521.99984188,32616
"Site_0049",400587.000418845,4674521.99984188,32616
"Site_0050",394587.000418845,4675521.99984188,32616
"Site_0051",395587.000418845,4675521.99984188,32616
"Site_0052",396587.000418845,4675521.99984188,32616
"Site_0053",397587.000418845,4675521.99984188,32616
"Site_0054",398587.000418845,4675521.99984188,32616
"Site_0055",399587.000418845,4675521.99984188,32616
"Site_0056",400587.000418845,4675521.99984188,32616
"Site_0057",394587.000418845,4676521.99984188,32616
"Site_0058",395587.000418845,4676521.99984188,32616
"Site_0059",396587.000418845,4676521.99984188,32616
"Site_0060",397587.000418845,4676521.99984188,32616
"Site_0061",398587.000418845,4676521.99984188,32616
"Site_0062",399587.000418845,4676521.99984188,32616
"Site_0063",400587.000418845,4676521.99984188,32616
"Site_0064",394587.000418845,4677521.99984188,32616
"Site_0065",395587.000418845,4677521.99984188,32616
"Site_0066",396587.000418845,4677521.99984188,32616
"Site_0067",397587.000418845,4677521.99984188,32616
"Site_0068",398587.000418845,4677521.99984188,32616
"Site_0069",399587.000418845,4677521.99984188,32616
"Site_0070",400587.000418845,4677521.99984188,32616
"Site_0071",394587.000418845,4678521.99984188,32616
"Site_0072",395587.000418845,4678521.99984188,32616
"Site_0073",396587.000418845,4678521.99984188,32616
"Site_0074",397587.000418845,4678521.99984188,32616
"Site_0075",398587.000418845,4678521.99984188,32616
"Site_0076",399587.000418845,4678521.99984188,32616
"Site_0077",400587.000418845,4678521.99984188,32616
"Site_0078",394587.000418845,4679521.99984188,32616
"Site_0079",395587.000418845,4679521.99984188,32616
"Site_0080",396587.000418845,4679521.99984188,32616
"Site_0081",397587.000418845,4679521.99984188,32616
"Site_0082",398587.000418845,4679521.99984188,32616
"Site_0083",399587.000418845,4679521.99984188,32616
"Site_0084",400587.000418845,4679521.99984188,32616
"Site_0085",395587.000418845,4603521.99984188,32616
"Site_0086",396587.000418845,4603521.99984188,32616
"Site_0087",397587.000418845,4603521.99984188,32616
"Site_0088",398587.000418845,4603521.99984188,32616
"Site_0089",399587.000418845,4603521.99984188,32616
"Site_0090",400587.000418845,4603521.99984188,32616
"Site_0091",401587.000418845,4603521.99984188,32616
"Site_0092",402587.000418845,4603521.99984188,32616
"Site_0093",403587.000418845,4603521.99984188,32616
"Site_0094",404587.000418845,4603521.99984188,32616
"Site_0095",405587.000418845,4603521.99984188,32616
"Site_0096",406587.000418845,4603521.99984188,32616
"Site_0097",407587.000418845,4603521.99984188,32616
"Site_0098",408587.000418845,4603521.99984188,32616
"Site_0099",409587.000418845,4603521.99984188,32616
"Site_0100",410587.000418845,4603521.99984188,32616
"Site_0101",411587.000418845,4603521.99984188,32616
"Site_0102",412587.000418845,4603521.99984188,32616
"Site_0103",413587.000418845,4603521.99984188,32616
"Site_0104",414587.000418845,4603521.99984188,32616
"Site_0105",415587.000418845,4603521.99984188,32616
"Site_0106",416587.000418845,4603521.99984188,32616
"Site_0107",417587.000418845,4603521.99984188,32616
"Site_0108",418587.000418845,4603521.99984188,32616
"Site_0109",419587.000418845,4603521.99984188,32616
"Site_0110",420587.000418845,4603521.99984188,32616
"Site_0111",421587.000418845,4603521.99984188,32616
"Site_0112",422587.000418845,4603521.99984188,32616
"Site_0113",423587.000418845,4603521.99984188,32616
"Site_0114",395587.000418845,4604521.99984188,32616
"Site_0115",396587.000418845,4604521.99984188,32616
"Site_0116",397587.000418845,4604521.99984188,32616
"Site_0117",398587.000418845,4604521.99984188,32616
"Site_0118",399587.000418845,4604521.99984188,32616
"Site_0119",400587.000418845,4604521.99984188,32616
"Site_0120",401587.000418845,4604521.99984188,32616
"Site_0121",402587.000418845,4604521.99984188,32616
"Site_0122",403587.000418845,4604521.99984188,32616
"Site_0123",404587.000418845,4604521.99984188,32616
"Site_0124",405587.000418845,4604521.99984188,32616
"Site_0125",406587.000418845,4604521.99984188,32616
"Site_0126",407587.000418845,4604521.99984188,32616
"Site_0127",408587.000418845,4604521.99984188,32616
"Site_0128",409587.000418845,4604521.99984188,32616
"Site_0129",410587.000418845,4604521.99984188,32616
"Site_0130",411587.000418845,4604521.99984188,32616
"Site_0131",412587.000418845,4604521.99984188,32616
"Site_0132",413587.000418845,4604521.99984188,32616
